model,fold_mean_test_auc,fold_std_test_auc,fold_mean_test_acc,fold_std_test_acc,slide_auc_oof,slide_acc_oof,slide_f1_oof,slide_sensitivity_oof,slide_specificity_oof,case_auc,case_acc,case_f1,case_sensitivity,case_specificity,n_slides,n_cases
CLAM_SB_WS,0.5567910644055603,0.2055531913296156,0.486953539055095,0.1264373877353534,0.5023668639053254,0.47962382445141066,0.44666666666666666,0.44666666666666666,0.5088757396449705,0.49404761904761907,0.5,0.5517241379310345,0.5714285714285714,0.4166666666666667,319,26
CLAM_SB_noWS,0.6055538993375128,0.204763099115509,0.554300649472012,0.09331645346915265,0.5983431952662721,0.5517241379310345,0.5626911314984709,0.6133333333333333,0.4970414201183432,0.6071428571428572,0.5,0.5806451612903226,0.6428571428571429,0.3333333333333333,319,26
MIL,0.4994130985727624,0.18169761078894262,0.5157030384343252,0.07836715293259006,0.512189349112426,0.5141065830721003,0.0935672514619883,0.05333333333333334,0.9230769230769231,0.4285714285714286,0.4230769230769231,0.0,0.0,0.9166666666666666,319,26
CLAM_MB_WS,0.5817199571747891,0.20699833955925676,0.521470106265102,0.122576338267472,0.5757396449704142,0.5266457680250783,0.5519287833827893,0.62,0.4437869822485207,0.5654761904761905,0.5769230769230769,0.6451612903225806,0.7142857142857143,0.4166666666666667,319,26
CLAM_MB_noWS,0.5817199571747891,0.20699833955925676,0.521470106265102,0.122576338267472,0.5757396449704142,0.5266457680250783,0.5519287833827893,0.62,0.4437869822485207,0.5654761904761905,0.5769230769230769,0.6451612903225806,0.7142857142857143,0.4166666666666667,319,26
